appointment,resident,status,attempts
AP-70733,RS-4524,withheld-regulation,""
AP-70673,RS-4441,withheld-regulation,""
AP-70689,RS-4153,withheld-regulation,""
AP-70824,RS-4453,withheld-regulation,""
AP-70930,RS-4466,withheld-regulation,""
AP-70264,RS-4065,opted out,""
AP-70265,RS-4101,withheld-regulation,""
AP-70757,RS-4285,withheld-regulation,""
AP-70457,RS-4158,withheld-regulation,""
AP-70226,RS-4605,withheld-regulation,""
AP-70358,RS-4236,withheld-regulation,""
AP-70661,RS-4069,withheld-regulation,""
AP-70758,RS-4614,withheld-regulation,""
AP-70372,RS-4369,withheld-regulation,""
AP-70844,RS-4440,withheld-regulation,""
AP-70297,RS-4468,withheld-regulation,""
AP-70670,RS-4176,withheld-regulation,""
AP-70624,RS-4044,withheld-regulation,""
AP-70653,RS-4294,withheld-regulation,""
AP-70678,RS-4171,withheld-regulation,""
AP-70114,RS-4240,withheld-regulation,""
AP-70364,RS-4386,withheld-regulation,""
AP-70043,RS-4560,withheld-regulation,""
AP-70871,RS-4603,withheld-regulation,""
AP-70647,RS-4191,opted out,""
AP-70789,RS-4500,withheld-regulation,""
AP-70056,RS-4472,opted out,""
AP-70819,RS-4465,withheld-regulation,""
AP-70355,RS-4480,withheld-regulation,""
AP-70109,RS-4550,opted out,""
AP-70892,RS-4174,withheld-regulation,""
AP-70879,RS-4176,withheld-regulation,""
AP-70141,RS-4595,withheld-regulation,""
AP-70516,RS-4619,withheld-regulation,""
AP-70595,RS-4541,withheld-regulation,""
AP-70315,RS-4530,withheld-regulation,""
AP-70800,RS-4407,withheld-regulation,""
AP-70515,RS-4554,withheld-regulation,""
AP-70695,RS-4374,withheld-regulation,""
AP-70820,RS-4538,withheld-regulation,""
AP-70135,RS-4350,withheld-regulation,""
AP-70148,RS-4150,withheld-regulation,""
AP-70587,RS-4068,withheld-regulation,""
AP-70885,RS-4182,withheld-regulation,""
AP-70730,RS-4592,withheld-regulation,""
AP-70894,RS-4314,withheld-regulation,""
AP-70796,RS-4352,withheld-regulation,""
AP-70173,RS-4393,withheld-regulation,""
AP-70013,RS-4091,withheld-regulation,""
AP-70817,RS-4504,withheld-regulation,""
AP-70890,RS-4508,withheld-regulation,""
AP-70030,RS-4366,withheld-regulation,""
AP-70344,RS-4224,withheld-regulation,""
AP-70671,RS-4289,withheld-regulation,""
AP-70565,RS-4124,withheld-regulation,""
AP-70878,RS-4227,withheld-regulation,""
AP-70079,RS-4330,withheld-regulation,""
AP-70384,RS-4393,withheld-regulation,""
AP-70523,RS-4352,withheld-regulation,""
AP-70544,RS-4339,withheld-regulation,""
AP-70651,RS-4619,withheld-regulation,""
AP-70937,RS-4192,withheld-regulation,""
AP-70073,RS-4264,withheld-regulation,""
AP-70559,RS-4531,withheld-regulation,""
AP-70564,RS-4502,opted out,""
AP-70369,RS-4076,withheld-regulation,""
AP-70080,RS-4223,withheld-regulation,""
AP-70867,RS-4440,withheld-regulation,""
AP-70884,RS-4003,withheld-regulation,""
AP-70271,RS-4608,withheld-regulation,""
AP-70357,RS-4533,withheld-regulation,""
AP-70551,RS-4167,withheld-regulation,""
AP-70775,RS-4076,withheld-regulation,""
AP-70203,RS-4374,withheld-regulation,""
AP-70280,RS-4320,opted out,""
AP-70643,RS-4264,withheld-regulation,""
AP-70920,RS-4069,withheld-regulation,""
AP-70328,RS-4078,withheld-regulation,""
AP-70475,RS-4282,withheld-regulation,""
AP-70676,RS-4107,withheld-regulation,""
AP-70748,RS-4328,withheld-regulation,""
AP-70866,RS-4348,withheld-regulation,""
AP-70116,RS-4242,withheld-regulation,""
AP-70152,RS-4526,withheld-regulation,""
AP-70454,RS-4371,withheld-regulation,""
AP-70928,RS-4137,withheld-regulation,""
AP-70170,RS-4107,withheld-regulation,""
AP-70581,RS-4141,withheld-regulation,""
AP-70862,RS-4217,withheld-regulation,""
AP-70259,RS-4019,withheld-regulation,""
AP-70739,RS-4341,withheld-regulation,""
AP-70115,RS-4322,withheld-regulation,""
AP-70404,RS-4357,withheld-regulation,""
AP-70465,RS-4295,withheld-regulation,""
AP-70162,RS-4289,withheld-regulation,""
AP-70247,RS-4157,withheld-regulation,""
AP-70801,RS-4152,withheld-regulation,""
AP-70491,RS-4480,withheld-regulation,""
AP-70602,RS-4365,withheld-regulation,""
AP-70578,RS-4537,withheld-regulation,""
AP-70836,RS-4471,withheld-regulation,""
AP-70852,RS-4569,withheld-regulation,""
AP-70099,RS-4218,withheld-regulation,""
AP-70714,RS-4203,withheld-regulation,""
AP-70222,RS-4301,withheld-regulation,""
AP-70225,RS-4244,withheld-regulation,""
AP-70326,RS-4101,withheld-regulation,""
AP-70506,RS-4037,withheld-regulation,""
AP-70614,RS-4213,withheld-regulation,""
AP-70493,RS-4064,withheld-regulation,""
AP-70540,RS-4065,opted out,""
AP-70843,RS-4159,withheld-regulation,""
AP-70833,RS-4486,withheld-regulation,""
AP-70000,RS-4209,withheld-regulation,""
AP-70035,RS-4245,withheld-regulation,""
AP-70925,RS-4411,withheld-regulation,""
AP-70015,RS-4454,withheld-regulation,""
AP-70057,RS-4243,withheld-regulation,""
AP-70287,RS-4070,withheld-regulation,""
AP-70659,RS-4198,withheld-regulation,""
AP-70157,RS-4285,withheld-regulation,""
AP-70300,RS-4088,withheld-regulation,""
AP-70690,RS-4516,opted out,""
AP-70274,RS-4086,withheld-regulation,""
AP-70408,RS-4059,opted out,""
AP-70764,RS-4305,opted out,""
AP-70904,RS-4501,withheld-regulation,""
AP-70204,RS-4030,withheld-regulation,""
AP-70557,RS-4411,withheld-regulation,""
AP-70020,RS-4068,withheld-regulation,""
AP-70168,RS-4457,withheld-regulation,""
AP-70179,RS-4608,withheld-regulation,""
AP-70290,RS-4008,opted out,""
AP-70452,RS-4040,opted out,""
AP-70486,RS-4040,opted out,""
AP-70680,RS-4118,withheld-regulation,""
AP-70806,RS-4007,withheld-regulation,""
AP-70619,RS-4429,withheld-regulation,""
AP-70711,RS-4169,withheld-regulation,""
AP-70251,RS-4412,withheld-regulation,""
AP-70604,RS-4303,withheld-regulation,""
AP-70936,RS-4443,withheld-regulation,""
AP-70685,RS-4416,opted out,""
AP-70834,RS-4139,withheld-regulation,""
AP-70285,RS-4141,withheld-regulation,""
AP-70797,RS-4345,withheld-regulation,""
AP-70907,RS-4059,opted out,""
AP-70066,RS-4126,withheld-regulation,""
AP-70776,RS-4584,unreached,""
AP-70860,RS-4229,opted out,""
AP-70492,RS-4488,withheld-regulation,""
AP-70762,RS-4313,withheld-regulation,""
AP-70590,RS-4400,withheld-regulation,""
AP-70674,RS-4532,withheld-regulation,""
AP-70303,RS-4129,withheld-regulation,""
AP-70405,RS-4325,opted out,""
AP-70740,RS-4295,withheld-regulation,""
AP-70197,RS-4448,withheld-regulation,""
AP-70501,RS-4309,opted out,""
AP-70509,RS-4245,withheld-regulation,""
AP-70889,RS-4124,withheld-regulation,""
AP-70807,RS-4519,withheld-regulation,""
AP-70412,RS-4056,withheld-regulation,""
AP-70489,RS-4460,withheld-regulation,""
AP-70608,RS-4035,withheld-regulation,""
AP-70666,RS-4323,withheld-regulation,""
AP-70770,RS-4559,withheld-regulation,""
AP-70406,RS-4354,withheld-regulation,""
AP-70683,RS-4343,withheld-regulation,""
AP-70064,RS-4196,withheld-regulation,""
AP-70433,RS-4233,withheld-regulation,""
AP-70348,RS-4521,opted out,""
AP-70425,RS-4242,withheld-regulation,""
AP-70276,RS-4570,withheld-regulation,""
AP-70468,RS-4559,withheld-regulation,""
AP-70593,RS-4198,withheld-regulation,""
AP-70693,RS-4300,withheld-regulation,""
AP-70517,RS-4315,withheld-regulation,""
AP-70268,RS-4409,withheld-regulation,""
AP-70534,RS-4003,withheld-regulation,""
AP-70629,RS-4004,withheld-regulation,""
AP-70416,RS-4335,withheld-regulation,""
AP-70580,RS-4128,opted out,""
AP-70176,RS-4024,withheld-regulation,""
AP-70606,RS-4548,withheld-regulation,""
AP-70002,RS-4507,withheld-regulation,""
AP-70090,RS-4227,withheld-regulation,""
AP-70575,RS-4187,withheld-regulation,""
AP-70278,RS-4569,withheld-regulation,""
AP-70887,RS-4224,withheld-regulation,""
AP-70212,RS-4098,unreached,""
AP-70450,RS-4227,withheld-regulation,""
AP-70533,RS-4535,withheld-regulation,""
AP-70279,RS-4487,withheld-regulation,""
AP-70262,RS-4510,withheld-regulation,""
AP-70497,RS-4377,opted out,""
AP-70767,RS-4287,withheld-regulation,""
AP-70367,RS-4077,withheld-regulation,""
AP-70815,RS-4004,withheld-regulation,""
AP-70350,RS-4217,withheld-regulation,""
AP-70460,RS-4394,unreached,""
AP-70301,RS-4410,withheld-regulation,""
AP-70075,RS-4086,withheld-regulation,""
AP-70124,RS-4450,withheld-regulation,""
AP-70184,RS-4051,withheld-regulation,""
AP-70106,RS-4099,withheld-regulation,""
AP-70705,RS-4466,withheld-regulation,""
AP-70703,RS-4151,withheld-regulation,""
AP-70097,RS-4513,withheld-regulation,""
AP-70113,RS-4043,withheld-regulation,""
AP-70611,RS-4618,withheld-regulation,""
AP-70900,RS-4323,withheld-regulation,""
AP-70103,RS-4396,withheld-regulation,""
AP-70200,RS-4472,opted out,""
AP-70380,RS-4206,withheld-regulation,""
AP-70877,RS-4082,withheld-regulation,""
AP-70137,RS-4159,withheld-regulation,""
AP-70556,RS-4312,withheld-regulation,""
AP-70701,RS-4186,withheld-regulation,""
AP-70864,RS-4405,withheld-regulation,""
AP-70068,RS-4449,withheld-regulation,""
AP-70101,RS-4201,withheld-regulation,""
AP-70151,RS-4435,withheld-regulation,""
AP-70508,RS-4519,withheld-regulation,""
AP-70858,RS-4119,withheld-regulation,""
AP-70221,RS-4069,withheld-regulation,""
AP-70277,RS-4101,withheld-regulation,""
AP-70719,RS-4229,opted out,""
AP-70182,RS-4358,withheld-regulation,""
AP-70250,RS-4032,opted out,""
AP-70334,RS-4574,withheld-regulation,""
AP-70571,RS-4354,withheld-regulation,""
AP-70697,RS-4195,withheld-regulation,""
AP-70458,RS-4188,withheld-regulation,""
AP-70487,RS-4252,withheld-regulation,""
AP-70868,RS-4469,withheld-regulation,""
AP-70522,RS-4056,withheld-regulation,""
AP-70708,RS-4360,withheld-regulation,""
AP-70427,RS-4037,withheld-regulation,""
AP-70089,RS-4465,withheld-regulation,""
AP-70411,RS-4313,withheld-regulation,""
AP-70777,RS-4571,withheld-regulation,""
AP-70400,RS-4025,withheld-regulation,""
AP-70507,RS-4617,withheld-regulation,""
AP-70029,RS-4439,withheld-regulation,""
AP-70391,RS-4386,withheld-regulation,""
AP-70283,RS-4190,withheld-regulation,""
AP-70324,RS-4305,opted out,""
AP-70337,RS-4308,withheld-regulation,""
AP-70914,RS-4422,withheld-regulation,""
AP-70063,RS-4486,withheld-regulation,""
AP-70567,RS-4581,withheld-regulation,""
AP-70732,RS-4269,opted out,""
AP-70912,RS-4165,withheld-regulation,""
AP-70738,RS-4474,withheld-regulation,""
AP-70803,RS-4511,withheld-regulation,""
AP-70660,RS-4245,withheld-regulation,""
AP-70828,RS-4308,withheld-regulation,""
AP-70019,RS-4114,withheld-regulation,""
AP-70266,RS-4016,withheld-regulation,""
AP-70472,RS-4591,withheld-regulation,""
AP-70134,RS-4163,withheld-regulation,""
AP-70150,RS-4471,withheld-regulation,""
AP-70779,RS-4026,withheld-regulation,""
AP-70562,RS-4530,withheld-regulation,""
AP-70656,RS-4053,withheld-regulation,""
AP-70091,RS-4171,withheld-regulation,""
AP-70309,RS-4073,withheld-regulation,""
AP-70895,RS-4436,withheld-regulation,""
AP-70933,RS-4581,withheld-regulation,""
AP-70243,RS-4232,withheld-regulation,""
AP-70453,RS-4445,withheld-regulation,""
AP-70586,RS-4537,withheld-regulation,""
AP-70016,RS-4484,opted out,""
AP-70394,RS-4253,withheld-regulation,""
AP-70749,RS-4336,withheld-regulation,""
AP-70143,RS-4094,opted out,""
AP-70329,RS-4026,withheld-regulation,""
AP-70352,RS-4213,withheld-regulation,""
AP-70260,RS-4590,withheld-regulation,""
AP-70682,RS-4339,withheld-regulation,""
AP-70413,RS-4050,unreached,""
AP-70110,RS-4222,withheld-regulation,""
AP-70296,RS-4398,withheld-regulation,""
AP-70804,RS-4183,opted out,""
AP-70155,RS-4012,withheld-regulation,""
AP-70476,RS-4043,withheld-regulation,""
AP-70875,RS-4532,withheld-regulation,""
AP-70040,RS-4393,withheld-regulation,""
AP-70050,RS-4451,withheld-regulation,""
AP-70524,RS-4324,withheld-regulation,""
AP-70199,RS-4232,withheld-regulation,""
AP-70275,RS-4094,opted out,""
AP-70456,RS-4316,withheld-regulation,""
AP-70600,RS-4398,withheld-regulation,""
AP-70938,RS-4188,withheld-regulation,""
AP-70314,RS-4281,withheld-regulation,""
AP-70512,RS-4445,withheld-regulation,""
AP-70206,RS-4090,withheld-regulation,""
AP-70838,RS-4046,withheld-regulation,""
AP-70037,RS-4054,withheld-regulation,""
AP-70291,RS-4247,withheld-regulation,""
AP-70439,RS-4608,withheld-regulation,""
AP-70918,RS-4565,withheld-regulation,""
AP-70459,RS-4420,withheld-regulation,""
AP-70704,RS-4019,withheld-regulation,""
AP-70078,RS-4570,withheld-regulation,""
AP-70195,RS-4384,opted out,""
AP-70392,RS-4148,withheld-regulation,""
AP-70826,RS-4443,withheld-regulation,""
AP-70531,RS-4065,opted out,""
AP-70542,RS-4555,withheld-regulation,""
AP-70837,RS-4448,withheld-regulation,""
AP-70208,RS-4339,withheld-regulation,""
AP-70585,RS-4591,withheld-regulation,""
AP-70893,RS-4221,withheld-regulation,""
AP-70237,RS-4039,withheld-regulation,""
AP-70519,RS-4551,withheld-regulation,""
AP-70008,RS-4351,withheld-regulation,""
AP-70062,RS-4015,withheld-regulation,""
AP-70339,RS-4111,withheld-regulation,""
AP-70429,RS-4109,unreached,""
AP-70546,RS-4260,withheld-regulation,""
AP-70061,RS-4604,withheld-regulation,""
AP-70365,RS-4225,withheld-regulation,""
AP-70537,RS-4502,opted out,""
AP-70623,RS-4457,withheld-regulation,""
AP-70814,RS-4487,withheld-regulation,""
AP-70483,RS-4589,withheld-regulation,""
AP-70636,RS-4609,withheld-regulation,""
AP-70934,RS-4242,withheld-regulation,""
AP-70461,RS-4292,withheld-regulation,""
AP-70126,RS-4160,withheld-regulation,""
AP-70142,RS-4020,withheld-regulation,""
AP-70437,RS-4506,withheld-regulation,""
AP-70552,RS-4163,withheld-regulation,""
AP-70902,RS-4287,withheld-regulation,""
AP-70034,RS-4167,withheld-regulation,""
AP-70118,RS-4079,withheld-regulation,""
AP-70548,RS-4446,withheld-regulation,""
AP-70722,RS-4054,withheld-regulation,""
AP-70490,RS-4614,withheld-regulation,""
AP-70502,RS-4530,withheld-regulation,""
AP-70513,RS-4307,withheld-regulation,""
AP-70910,RS-4325,opted out,""
AP-70086,RS-4519,withheld-regulation,""
AP-70161,RS-4100,withheld-regulation,""
AP-70164,RS-4329,withheld-regulation,""
AP-70169,RS-4265,opted out,""
AP-70870,RS-4244,withheld-regulation,""
AP-70156,RS-4234,withheld-regulation,""
AP-70023,RS-4138,withheld-regulation,""
AP-70473,RS-4400,withheld-regulation,""
AP-70327,RS-4429,withheld-regulation,""
AP-70583,RS-4215,withheld-regulation,""
AP-70734,RS-4298,withheld-regulation,""
AP-70847,RS-4139,withheld-regulation,""
AP-70320,RS-4013,withheld-regulation,""
AP-70723,RS-4287,withheld-regulation,""
AP-70430,RS-4406,withheld-regulation,""
AP-70845,RS-4573,opted out,""
AP-70744,RS-4252,withheld-regulation,""
AP-70857,RS-4526,withheld-regulation,""
AP-70244,RS-4048,withheld-regulation,""
AP-70500,RS-4089,withheld-regulation,""
AP-70809,RS-4534,opted out,""
AP-70927,RS-4401,opted out,""
AP-70111,RS-4046,withheld-regulation,""
AP-70813,RS-4099,withheld-regulation,""
AP-70185,RS-4415,withheld-regulation,""
AP-70189,RS-4457,withheld-regulation,""
AP-70354,RS-4405,withheld-regulation,""
AP-70686,RS-4161,withheld-regulation,""
AP-70699,RS-4156,opted out,""
AP-70359,RS-4118,withheld-regulation,""
AP-70378,RS-4470,withheld-regulation,""
AP-70641,RS-4215,withheld-regulation,""
AP-70765,RS-4339,withheld-regulation,""
AP-70831,RS-4142,withheld-regulation,""
AP-70582,RS-4421,opted out,""
AP-70772,RS-4612,withheld-regulation,""
AP-70009,RS-4193,withheld-regulation,""
AP-70121,RS-4029,withheld-regulation,""
AP-70466,RS-4618,withheld-regulation,""
AP-70132,RS-4534,opted out,""
AP-70207,RS-4612,withheld-regulation,""
AP-70217,RS-4258,opted out,""
AP-70227,RS-4132,withheld-regulation,""
AP-70632,RS-4492,withheld-regulation,""
AP-70213,RS-4371,withheld-regulation,""
AP-70249,RS-4571,withheld-regulation,""
AP-70715,RS-4068,withheld-regulation,""
AP-70209,RS-4456,withheld-regulation,""
AP-70455,RS-4249,withheld-regulation,""
AP-70025,RS-4509,unreached,""
AP-70424,RS-4534,opted out,""
AP-70488,RS-4172,withheld-regulation,""
AP-70178,RS-4552,withheld-regulation,""
AP-70361,RS-4581,withheld-regulation,""
AP-70145,RS-4154,withheld-regulation,""
AP-70235,RS-4492,withheld-regulation,""
AP-70421,RS-4616,withheld-regulation,""
AP-70750,RS-4439,withheld-regulation,""
AP-70205,RS-4117,withheld-regulation,""
AP-70622,RS-4063,withheld-regulation,""
AP-70865,RS-4398,withheld-regulation,""
AP-70239,RS-4073,withheld-regulation,""
AP-70525,RS-4146,withheld-regulation,""
AP-70541,RS-4197,withheld-regulation,""
AP-70716,RS-4020,withheld-regulation,""
AP-70202,RS-4617,withheld-regulation,""
AP-70410,RS-4176,withheld-regulation,""
AP-70621,RS-4010,withheld-regulation,""
AP-70011,RS-4371,withheld-regulation,""
AP-70036,RS-4508,withheld-regulation,""
AP-70773,RS-4615,withheld-regulation,""
AP-70886,RS-4077,withheld-regulation,""
AP-70229,RS-4467,opted out,""
AP-70039,RS-4095,withheld-regulation,""
AP-70196,RS-4573,opted out,""
AP-70371,RS-4180,withheld-regulation,""
AP-70769,RS-4046,withheld-regulation,""
AP-70823,RS-4385,opted out,""
AP-70038,RS-4214,withheld-regulation,""
AP-70215,RS-4235,withheld-regulation,""
AP-70426,RS-4453,withheld-regulation,""
AP-70897,RS-4051,withheld-regulation,""
AP-70588,RS-4537,withheld-regulation,""
AP-70258,RS-4545,withheld-regulation,""
AP-70637,RS-4332,withheld-regulation,""
AP-70027,RS-4248,withheld-regulation,""
AP-70248,RS-4006,withheld-regulation,""
AP-70318,RS-4556,withheld-regulation,""
AP-70443,RS-4469,withheld-regulation,""
AP-70617,RS-4558,withheld-regulation,""
AP-70160,RS-4396,withheld-regulation,""
AP-70254,RS-4286,withheld-regulation,""
AP-70307,RS-4307,withheld-regulation,""
AP-70428,RS-4399,withheld-regulation,""
AP-70543,RS-4545,withheld-regulation,""
AP-70463,RS-4461,withheld-regulation,""
AP-70709,RS-4212,withheld-regulation,""
AP-70921,RS-4485,withheld-regulation,""
AP-70313,RS-4217,withheld-regulation,""
AP-70768,RS-4292,withheld-regulation,""
AP-70883,RS-4414,opted out,""
AP-70482,RS-4419,withheld-regulation,""
AP-70603,RS-4553,withheld-regulation,""
AP-70790,RS-4493,withheld-regulation,""
AP-70830,RS-4485,withheld-regulation,""
AP-70386,RS-4379,withheld-regulation,""
AP-70780,RS-4553,withheld-regulation,""
AP-70499,RS-4270,withheld-regulation,""
AP-70818,RS-4229,opted out,""
AP-70812,RS-4410,withheld-regulation,""
AP-70863,RS-4217,withheld-regulation,""
AP-70785,RS-4607,withheld-regulation,""
AP-70926,RS-4263,withheld-regulation,""
AP-70414,RS-4244,withheld-regulation,""
AP-70442,RS-4615,withheld-regulation,""
AP-70174,RS-4073,withheld-regulation,""
AP-70667,RS-4322,withheld-regulation,""
AP-70269,RS-4170,withheld-regulation,""
AP-70731,RS-4397,withheld-regulation,""
AP-70149,RS-4324,withheld-regulation,""
AP-70644,RS-4275,withheld-regulation,""
AP-70792,RS-4046,withheld-regulation,""
AP-70383,RS-4390,withheld-regulation,""
AP-70014,RS-4607,withheld-regulation,""
AP-70330,RS-4326,opted out,""
AP-70232,RS-4179,withheld-regulation,""
AP-70535,RS-4561,opted out,""
AP-70861,RS-4100,withheld-regulation,""
AP-70353,RS-4451,withheld-regulation,""
AP-70480,RS-4302,opted out,""
AP-70046,RS-4431,withheld-regulation,""
AP-70084,RS-4299,unreached,""
AP-70305,RS-4169,withheld-regulation,""
AP-70538,RS-4483,withheld-regulation,""
AP-70335,RS-4203,withheld-regulation,""
AP-70418,RS-4129,withheld-regulation,""
AP-70751,RS-4431,withheld-regulation,""
AP-70004,RS-4010,withheld-regulation,""
AP-70058,RS-4363,opted out,""
AP-70874,RS-4099,withheld-regulation,""
AP-70880,RS-4275,withheld-regulation,""
AP-70175,RS-4049,withheld-regulation,""
AP-70007,RS-4260,withheld-regulation,""
AP-70474,RS-4367,withheld-regulation,""
AP-70929,RS-4277,withheld-regulation,""
AP-70419,RS-4040,opted out,""
AP-70594,RS-4334,withheld-regulation,""
AP-70059,RS-4334,withheld-regulation,""
AP-70700,RS-4184,withheld-regulation,""
AP-70727,RS-4421,opted out,""
AP-70882,RS-4619,withheld-regulation,""
AP-70077,RS-4049,withheld-regulation,""
AP-70760,RS-4022,opted out,""
AP-70707,RS-4382,withheld-regulation,""
AP-70615,RS-4247,withheld-regulation,""
AP-70728,RS-4215,withheld-regulation,""
AP-70288,RS-4315,withheld-regulation,""
AP-70563,RS-4057,withheld-regulation,""
AP-70825,RS-4532,withheld-regulation,""
AP-70133,RS-4585,withheld-regulation,""
AP-70436,RS-4060,withheld-regulation,""
AP-70616,RS-4252,withheld-regulation,""
AP-70681,RS-4305,opted out,""
AP-70387,RS-4303,withheld-regulation,""
AP-70579,RS-4252,withheld-regulation,""
AP-70649,RS-4014,withheld-regulation,""
AP-70613,RS-4584,unreached,""
AP-70093,RS-4081,withheld-regulation,""
AP-70165,RS-4137,withheld-regulation,""
AP-70218,RS-4606,withheld-regulation,""
AP-70628,RS-4512,opted out,""
AP-70706,RS-4321,withheld-regulation,""
AP-70438,RS-4473,withheld-regulation,""
AP-70510,RS-4506,withheld-regulation,""
AP-70417,RS-4191,opted out,""
AP-70112,RS-4398,withheld-regulation,""
AP-70001,RS-4199,withheld-regulation,""
AP-70049,RS-4088,withheld-regulation,""
AP-70377,RS-4070,withheld-regulation,""
AP-70561,RS-4221,withheld-regulation,""
AP-70677,RS-4465,withheld-regulation,""
AP-70028,RS-4437,withheld-regulation,""
AP-70310,RS-4421,opted out,""
AP-70545,RS-4055,withheld-regulation,""
AP-70597,RS-4596,withheld-regulation,""
AP-70609,RS-4058,withheld-regulation,""
AP-70610,RS-4146,withheld-regulation,""
AP-70881,RS-4083,withheld-regulation,""
AP-70321,RS-4058,withheld-regulation,""
AP-70341,RS-4246,withheld-regulation,""
AP-70363,RS-4177,withheld-regulation,""
